CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
74	1271	145109	0.87	146380
75	1212	145016	0.83	146228
76	1190	145592	0.81	146782
77	1218	145634	0.83	146852
78	1258	145845	0.86	147103
79	1226	146042	0.83	147268
80	1118	145050	0.76	146168
81	1229	144873	0.84	146102
82	1174	145286	0.80	146460
83	1211	145505	0.83	146716
84	1208	145206	0.83	146414
85	1216	144595	0.83	145811
86	1231	144986	0.84	146217
87	1189	145130	0.81	146319
88	1214	144562	0.83	145776
89	1289	143484	0.89	144773
90	1171	144086	0.81	145257
91	1166	143850	0.80	145016
92	1233	143884	0.85	145117
93	1233	143598	0.85	144831
94	1154	143541	0.80	144695
95	1168	142766	0.81	143934
96	1218	142621	0.85	143839
97	1158	142156	0.81	143314
98	1273	141900	0.89	143173
99	1133	142414	0.79	143547
100	1158	143249	0.80	144407
101	1193	141692	0.83	142885
102	1204	141985	0.84	143189
103	1178	140698	0.83	141876
104	1203	141134	0.85	142337
105	1141	140189	0.81	141330
106	1083	139840	0.77	140923
107	1229	140393	0.87	141622
108	1128	140236	0.80	141364
109	1132	140368	0.80	141500
110	1161	140369	0.82	141530
111	1193	140125	0.84	141318
112	1168	140131	0.83	141299
113	1170	138334	0.84	139504
114	1191	137703	0.86	138894
115	1108	137167	0.80	138275
116	1175	136481	0.85	137656
117	1134	136641	0.82	137775
118	1142	135756	0.83	136898
119	1170	135842	0.85	137012
120	1208	134813	0.89	136021
121	1169	134955	0.86	136124
122	1123	134088	0.83	135211
123	1106	133044	0.82	134150
124	1111	132895	0.83	134006
125	1054	132430	0.79	133484
126	1157	131908	0.87	133065
127	1146	131817	0.86	132963
128	1099	131003	0.83	132102
129	1067	129694	0.82	130761
130	1139	128872	0.88	130011
131	1145	129009	0.88	130154
132	1046	127957	0.81	129003
133	1095	126874	0.86	127969
134	1125	126021	0.88	127146
135	1187	124575	0.94	125762
136	1326	124533	1.05	125859
137	1503	123815	1.20	125318
138	1878	121569	1.52	123447
139	3028	121149	2.44	124177
140	2893	116401	2.43	119294

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	65304	421552	13.41	486856
2	50312	420288	10.69	470600
3	40468	452107	8.22	492575
4	29576	480323	5.80	509899
5	20307	498309	3.92	518616
6	14965	519130	2.80	534095
7	11491	528307	2.13	539798
8	9346	525697	1.75	535043
9	7769	529912	1.44	537681
10	6712	528801	1.25	535513
11	5866	530513	1.09	536379
12	5225	527220	0.98	532445
13	5176	532879	0.96	538055
14	4938	527129	0.93	532067
15	4758	527974	0.89	532732
16	4624	525161	0.87	529785
17	4687	525001	0.88	529688
18	4560	524490	0.86	529050
19	4595	526224	0.87	530819
20	4552	522391	0.86	526943
21	4507	524632	0.85	529139
22	4489	524101	0.85	528590
23	4530	523776	0.86	528306
24	4329	524637	0.82	528966
25	4453	523484	0.84	527937
26	4534	523368	0.86	527902
27	4486	520555	0.85	525041
28	4693	520943	0.89	525636
29	4600	520494	0.88	525094
30	4540	521985	0.86	526525
31	4479	522947	0.85	527426
32	4427	525006	0.84	529433
33	4499	523763	0.85	528262
34	4451	523673	0.84	528124
35	4513	524455	0.85	528968
36	4521	522453	0.86	526974
37	4633	522586	0.88	527219
38	4531	520964	0.86	525495
39	4496	521634	0.85	526130
40	4367	522191	0.83	526558
41	4407	522395	0.84	526802
42	4432	523556	0.84	527988
43	4303	523522	0.82	527825
44	4275	523366	0.81	527641
45	4248	522406	0.81	526654
46	4278	520599	0.82	524877
47	4281	519209	0.82	523490
48	4135	516948	0.79	521083
49	4238	518117	0.81	522355
50	4096	514902	0.79	518998
51	4157	517491	0.80	521648
52	4160	518247	0.80	522407
53	4224	518526	0.81	522750
54	4220	518555	0.81	522775
55	4123	517926	0.79	522049
56	4235	516674	0.81	520909
57	4258	516638	0.82	520896
58	4120	517692	0.79	521812
59	4201	515495	0.81	519696
60	4201	516512	0.81	520713
61	4155	516288	0.80	520443
62	4103	518162	0.79	522265
63	4039	518148	0.77	522187
64	4142	519638	0.79	523780
65	4192	518618	0.80	522810
66	4019	518147	0.77	522166
67	3993	516392	0.77	520385
68	3983	515782	0.77	519765
69	4036	515277	0.78	519313
70	4269	512887	0.83	517156
71	3784	512267	0.73	516051
72	3943	510657	0.77	514600
73	3983	511506	0.77	515489
74	3859	512147	0.75	516006
75	3834	510463	0.75	514297
76	3879	512153	0.75	516032
77	3985	509952	0.78	513937
78	4155	509933	0.81	514088
79	3959	509700	0.77	513659
80	3877	507685	0.76	511562
81	3913	508203	0.76	512116
82	3880	508892	0.76	512772
83	3795	508284	0.74	512079
84	3894	506856	0.76	510750
85	3806	506667	0.75	510473
86	3884	505411	0.76	509295
87	3841	505356	0.75	509197
88	3832	505918	0.75	509750
89	4007	506335	0.79	510342
90	3837	506673	0.75	510510
91	3910	505307	0.77	509217
92	3906	504001	0.77	507907
93	3865	503884	0.76	507749
94	3781	504535	0.74	508316
95	3900	504680	0.77	508580
96	3852	503164	0.76	507016
97	3753	501738	0.74	505491
98	3776	498406	0.75	502182
99	3866	496898	0.77	500764
100	3703	497304	0.74	501007
101	3912	495368	0.78	499280
102	3917	495225	0.78	499142
103	3932	495033	0.79	498965
104	3871	495040	0.78	498911
105	3711	494536	0.74	498247
106	3646	494443	0.73	498089
107	3952	490655	0.80	494607
108	3690	490496	0.75	494186
109	3707	488929	0.75	492636
110	3759	486365	0.77	490124
111	3541	485400	0.72	488941
112	3663	485282	0.75	488945
113	3662	482984	0.75	486646
114	3604	481719	0.74	485323
115	3732	480649	0.77	484381
116	3521	478918	0.73	482439
117	3704	476034	0.77	479738
118	3531	475128	0.74	478659
119	3486	473765	0.73	477251
120	3755	472877	0.79	476632
121	3491	470653	0.74	474144
122	3639	469294	0.77	472933
123	3421	469209	0.72	472630
124	3530	467752	0.75	471282
125	3486	465358	0.74	468844
126	3398	463353	0.73	466751
127	3594	458501	0.78	462095
128	3383	456026	0.74	459409
129	3266	453806	0.71	457072
130	3553	451173	0.78	454726
131	3675	450137	0.81	453812
132	3536	447207	0.78	450743
133	3826	443132	0.86	446958
134	4036	439246	0.91	443282
135	4286	435208	0.98	439494
136	5121	433696	1.17	438817
137	6431	430529	1.47	436960
138	8162	427224	1.87	435386
139	9051	421207	2.10	430258
140	8907	408991	2.13	417898

