CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
35	3716	866565	0.43	870281
36	4054	864515	0.47	868569
37	4140	865094	0.48	869234
38	3767	863161	0.43	866928
39	3975	863239	0.46	867214
40	3774	862654	0.44	866428
41	3918	863696	0.45	867614
42	3656	864296	0.42	867952
43	3481	865368	0.40	868849
44	3673	862857	0.42	866530
45	3700	862488	0.43	866188
46	3617	858650	0.42	862267
47	3718	857888	0.43	861606
48	3404	855281	0.40	858685
49	3519	857103	0.41	860622
50	3466	852757	0.40	856223
51	3529	853752	0.41	857281
52	3422	855541	0.40	858963
53	3603	856431	0.42	860034
54	3499	857114	0.41	860613
55	3295	857578	0.38	860873
56	3700	854169	0.43	857869
57	3735	853912	0.44	857647
58	3303	853557	0.39	856860
59	3635	854100	0.42	857735
60	3575	851769	0.42	855344
61	3409	855086	0.40	858495
62	3370	856374	0.39	859744
63	3461	855658	0.40	859119
64	3341	856736	0.39	860077
65	3592	854626	0.42	858218
66	3324	854709	0.39	858033
67	3573	850306	0.42	853879
68	3347	851185	0.39	854532
69	3569	847802	0.42	851371
70	3683	846467	0.43	850150
71	3340	843539	0.39	846879
72	3365	843186	0.40	846551
73	3665	843549	0.43	847214
74	3456	842488	0.41	845944
75	3279	840834	0.39	844113
76	3408	841531	0.40	844939
77	3392	842637	0.40	846029
78	3460	840774	0.41	844234
79	3325	839493	0.39	842818
80	3362	837484	0.40	840846
81	3341	835515	0.40	838856
82	3388	836381	0.40	839769
83	3318	834629	0.40	837947
84	3338	834618	0.40	837956
85	3341	833328	0.40	836669
86	3340	831881	0.40	835221
87	3299	830704	0.40	834003
88	3248	829652	0.39	832900
89	3520	830778	0.42	834298
90	3237	831456	0.39	834693
91	3345	830127	0.40	833472
92	3618	829195	0.43	832813
93	3375	828356	0.41	831731
94	3265	826567	0.39	829832
95	3484	825146	0.42	828630
96	3259	823661	0.39	826920
97	3217	821331	0.39	824548
98	3299	816782	0.40	820081
99	3175	814286	0.39	817461
100	3274	813933	0.40	817207
101	3336	810607	0.41	813943
102	3454	808713	0.43	812167
103	3408	807934	0.42	811342
104	3495	807599	0.43	811094
105	3227	807001	0.40	810228
106	3139	804026	0.39	807165
107	3690	797091	0.46	800781
108	3243	796706	0.41	799949
109	3198	795211	0.40	798409
110	3264	790013	0.41	793277
111	3063	788568	0.39	791631
112	3499	787161	0.44	790660
113	3157	782416	0.40	785573
114	3107	781068	0.40	784175
115	3307	777518	0.42	780825
116	3090	773915	0.40	777005
117	3103	769752	0.40	772855
118	3078	769059	0.40	772137
119	2972	765049	0.39	768021
120	3334	762127	0.44	765461
121	2979	760346	0.39	763325
122	3166	755141	0.42	758307
123	2814	751023	0.37	753837
124	2953	747033	0.39	749986
125	2906	742692	0.39	745598
126	2996	738456	0.40	741452
127	3302	731298	0.45	734600
128	2875	725653	0.39	728528
129	2781	721763	0.38	724544
130	3058	716692	0.42	719750
131	3309	712712	0.46	716021
132	3046	707626	0.43	710672
133	3246	701120	0.46	704366
134	3593	692198	0.52	695791
135	3948	689149	0.57	693097
136	4597	683386	0.67	687983
137	5986	676974	0.88	682960
138	7734	671437	1.14	679171
139	8876	662066	1.32	670942
140	8494	636664	1.32	645158

